2532bat	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	+	NZ_LN680001.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2237913	2238013	101	1	101	101	4233615
18iat	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	+	NZ_LN680001.1	at_nt_yont_sr6	not defined	infernal	1.3e-18	2237913	2238013	100	0	0	0	0
24it	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	-	NZ_LN680001.1	t_nt_yont_sr6	not defined	infernal	2.8e-40	2237972	2237798	174	0	0	0	0
1004bt	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	-	NZ_LN680001.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	2237972	2237862	111	1	37	58	4233615
1006bt	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	-	NZ_LN680001.1	t_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2237972	2237796	177	1	177	177	4233615
22it	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	-	NZ_LN680001.1	t_pro_yont_sr6	not defined	infernal	7.2e-23	2237972	2237862	110	0	0	0	0
2540bat	Bacillus_sp_DM2_chromosome_complete_genome	genome	+	NZ_CP030937.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2231514	2231614	101	1	101	101	4238631
13iat	Bacillus_sp_DM2_chromosome_complete_genome	genome	+	NZ_CP030937.1	at_nt_yont_sr6	not defined	infernal	4.4e-19	2231514	2231614	100	0	0	0	0
1010bt	Bacillus_sp_DM2_chromosome_complete_genome	genome	-	NZ_CP030937.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	2231573	2231400	174	1	58	58	4238631
56it	Bacillus_sp_DM2_chromosome_complete_genome	genome	-	NZ_CP030937.1	t_nt_yont_sr6	not defined	infernal	1.7e-38	2231573	2231399	174	0	0	0	0
1005bt	Bacillus_sp_DM2_chromosome_complete_genome	genome	-	NZ_CP030937.1	t_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2231573	2231397	177	1	177	177	4238631
21it	Bacillus_sp_DM2_chromosome_complete_genome	genome	-	NZ_CP030937.1	t_pro_yont_sr6	not defined	infernal	4.3e-23	2231573	2231463	110	0	0	0	0
55it	Bacillus_sp_SDLI1_complete_genome	genome	+	NZ_CP013950.1	t_nt_yont_sr6	not defined	infernal	6.2e-39	4087902	4088079	177	0	0	0	0
52it	Bacillus_sp_SDLI1_complete_genome	genome	+	NZ_CP013950.1	t_pro_yont_sr6	not defined	infernal	7.4e-20	4087902	4088015	113	0	0	0	0
1453bt	Bacillus_sp_SDLI1_complete_genome	genome	+	NZ_CP013950.1	t_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	4087902	4088079	178	1	175	177	4134042
1075bt	Bacillus_sp_SDLI1_complete_genome	genome	+	NZ_CP013950.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	4087902	4088015	114	1	33	59	4134042
1095bat	Bacillus_sp_SDLI1_complete_genome	genome	-	NZ_CP013950.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	4087955	4087860	96	1	96	96	4134042
60iat	Bacillus_sp_SDLI1_complete_genome	genome	-	NZ_CP013950.1	at_nt_yont_sr6	not defined	infernal	7.7e-17	4087961	4087861	100	0	0	0	0
2539bat	Bacillus_sp_WR11_chromosome_complete_genome	genome	+	NZ_CP033064.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2185397	2185497	101	1	101	101	4202080
33iat	Bacillus_sp_WR11_chromosome_complete_genome	genome	+	NZ_CP033064.1	at_nt_yont_sr6	not defined	infernal	3e-18	2185397	2185497	100	0	0	0	0
1017bt	Bacillus_sp_WR11_chromosome_complete_genome	genome	-	NZ_CP033064.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	2185456	2185346	111	1	37	58	4202080
11it	Bacillus_sp_WR11_chromosome_complete_genome	genome	-	NZ_CP033064.1	t_pro_yont_sr6	not defined	infernal	5.6e-24	2185456	2185346	110	0	0	0	0
1018bt	Bacillus_sp_WR11_chromosome_complete_genome	genome	-	NZ_CP033064.1	t_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2185456	2185280	177	1	177	177	4202080
14it	Bacillus_sp_WR11_chromosome_complete_genome	genome	-	NZ_CP033064.1	t_nt_yont_sr6	not defined	infernal	1.1e-40	2185456	2185282	174	0	0	0	0
