>>>>> statistic <<<<<	NameOfTAS:	srnb_srnc	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	279	54	284	14	301	47	97	69	398	83	73		
1. sequence analysis	round2	281	51	286	23	303	47	512	336	3417	426	358		
1. sequence analysis	round3	281	51	286	25	303	47	988	618	3889	523	644		
1. sequence analysis	round4	281	51	286	25	303	47	1143	749	10894	1208	835		
1. sequence analysis	round5	281	51	286	25	303	47	1160	773	10906	1220	864		
2. structure analysis	structure of round5	281	48	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_srnb_srnc_round5_0001	---	---	286	29	---	---	---	---	---	---	---		
2. structure analysis	t_nt_srnb_srnc_round5_0001	---	---	---	---	313	56	---	---	---	---	---		
2. structure analysis	t_pro_srnb_srnc_round5_0001	---	---	---	---	---	---	---	---	11165	1234	---		
3. combined analysis	BlastRound5&Infernal	278	48	556	27	556	40	0	0	556	41	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	278	48		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	57	--	--	--	57	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	491	--	499	--	--	--	499	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Escherichia_albertii	7	48	14	6	14	6	0	0	14	6	0	
	Escherichia_coli	225	48	450	22	450	35	0	0	450	36	0	
	Klebsiella_pneumoniae	39	45	78	4	78	4	0	0	78	4	0	
	Proteus_mirabilis	1	45	2	1	2	1	0	0	2	1	0	
	Salmonella_enterica	2	45	4	2	4	2	0	0	4	2	0	
	Shigella_flexneri	3	45	6	1	6	1	0	0	6	1	0	
	Shigella_sonnei	1	45	2	1	2	1	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
