>>>>> statistic <<<<<	NameOfTAS:	ibs_sib	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	558	0	851	31	601	10	0	0	0	0	0		
1. sequence analysis	round2	1460	0	2301	114	1465	23	0	0	0	0	0		
1. sequence analysis	round3	1636	0	3487	194	1638	24	0	0	0	0	0		
1. sequence analysis	round4	1636	0	3969	258	1639	25	0	0	0	0	0		
1. sequence analysis	round5	1636	0	5261	322	1639	25	0	0	0	0	0		
2. structure analysis	structure of round5	5918	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_ibs_sib_round5_0001	---	---	7625	509	---	---	---	---	---	---	---		
2. structure analysis	t_nt_ibs_sib_round5_0001	---	---	---	---	5920	110	---	---	---	---	---		
3. combined analysis	BlastRound5&Infernal	4447	0	8896	251	6088	72	0	0	0	0	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	4445	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	1	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	5796	--	5321	--	--	--	0	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Citrobacter_amalonaticus	3	0	6	3	3	3	0	0	0	0	0	
	Citrobacter_braakii	2	0	4	2	2	2	0	0	0	0	0	
	Citrobacter_freundii	31	0	62	10	31	9	0	0	0	0	0	
	Citrobacter_koseri	2	0	4	2	2	2	0	0	0	0	0	
	Citrobacter_pasteurii	1	0	2	1	1	1	0	0	0	0	0	
	Citrobacter_portucalensis	1	0	2	1	1	1	0	0	0	0	0	
	Citrobacter_rodentium	1	0	2	1	1	1	0	0	0	0	0	
	Citrobacter_sp	7	0	14	5	7	5	0	0	0	0	0	
	Citrobacter_werkmanii	4	0	7	4	5	4	0	0	0	0	0	
	Citrobacter_youngae	2	0	4	2	2	2	0	0	0	0	0	
	Escherichia_albertii	33	0	66	14	66	5	0	0	0	0	0	
	Escherichia_coli	2791	0	5586	142	4206	31	0	0	0	0	0	
	Escherichia_fergusonii	5	0	10	4	10	4	0	0	0	0	0	
	Escherichia_marmotae	1	0	2	1	2	1	0	0	0	0	0	
	Salmonella_enterica	1332	0	2664	45	1332	14	0	0	0	0	0	
	Salmonella_sp	4	0	8	3	4	2	0	0	0	0	0	
	Shigella_boydii	41	0	82	11	71	5	0	0	0	0	0	
	Shigella_dysenteriae	64	0	127	23	112	8	0	0	0	0	0	
	Shigella_flexneri	98	0	196	7	194	6	0	0	0	0	0	
	Shigella_sonnei	19	0	38	4	29	4	0	0	0	0	0	
	Shigella_sp	5	0	10	5	7	5	0	0	0	0	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	Shigella_sp_PAMC_28760_chromosome_complete_genome	5	
