5657it	Burkholderia_cepacia_ATCC_25416_chromosome_2_complete_sequence	genome	-	NZ_CP012982.1	t_pro_syme_symr	not defined	infernal	0.00064	1940125	1939890	235	0	0	0	0
483076bt	Burkholderia_cepacia_ATCC_25416_chromosome_2_complete_sequence	genome	-	NZ_CP012982.1	t_pro_syme_symr	580478bt_bac:Blood_disease_bacterium_A2_HR_MARDI_plasmid_unnamed_complete_sequence_tasys:t_pro_syme_	tblastn	3.50e-08	1940141	1939896	85	8	88	90	3408190
1584iat	Burkholderia_cepacia_ATCC_25416_chromosome_2_complete_sequence	genome	+	NZ_CP012982.1	at_nt_syme_symr	not defined	infernal	0.0002	1940118	1940192	74	0	0	0	0
1583iat	Burkholderia_cepacia_ATCC_25416_chromosome_2_complete_sequence	genome	-	NZ_CP007748.1	at_nt_syme_symr	not defined	infernal	0.0002	652438	652364	74	0	0	0	0
5656it	Burkholderia_cepacia_ATCC_25416_chromosome_2_complete_sequence	genome	+	NZ_CP007748.1	t_pro_syme_symr	not defined	infernal	0.00064	652431	652666	235	0	0	0	0
483070bt	Burkholderia_cepacia_ATCC_25416_chromosome_2_complete_sequence	genome	+	NZ_CP007748.1	t_pro_syme_symr	580478bt_bac:Blood_disease_bacterium_A2_HR_MARDI_plasmid_unnamed_complete_sequence_tasys:t_pro_syme_	tblastn	3.50e-08	652415	652660	85	8	88	90	3396456
483054bt	Burkholderia_cepacia_JBK9_chromosome_2_complete_sequence	genome	+	NZ_CP013731.1	t_pro_syme_symr	580478bt_bac:Blood_disease_bacterium_A2_HR_MARDI_plasmid_unnamed_complete_sequence_tasys:t_pro_syme_	tblastn	3.68e-09	1273936	1274181	85	8	88	90	3400736
5206it	Burkholderia_cepacia_JBK9_chromosome_2_complete_sequence	genome	+	NZ_CP013731.1	t_pro_syme_symr	not defined	infernal	2.1e-05	1273949	1274204	255	0	0	0	0
1383iat	Burkholderia_cepacia_JBK9_chromosome_2_complete_sequence	genome	-	NZ_CP013731.1	at_nt_syme_symr	not defined	infernal	1e-05	1273959	1273885	74	0	0	0	0
483074bt	Burkholderia_cepacia_strain_FDAARGOS_345_chromosome_2_complete_sequence	genome	+	NZ_CP022084.2	t_pro_syme_symr	580478bt_bac:Blood_disease_bacterium_A2_HR_MARDI_plasmid_unnamed_complete_sequence_tasys:t_pro_syme_	tblastn	3.50e-08	2517424	2517669	85	8	88	90	3397795
5658it	Burkholderia_cepacia_strain_FDAARGOS_345_chromosome_2_complete_sequence	genome	+	NZ_CP022084.2	t_pro_syme_symr	not defined	infernal	0.00064	2517440	2517675	235	0	0	0	0
1585iat	Burkholderia_cepacia_strain_FDAARGOS_345_chromosome_2_complete_sequence	genome	-	NZ_CP022084.2	at_nt_syme_symr	not defined	infernal	0.0002	2517447	2517373	74	0	0	0	0
1586iat	Burkholderia_cepacia_strain_FDAARGOS_388_chromosome_2_complete_sequence	genome	+	NZ_CP023521.1	at_nt_syme_symr	not defined	infernal	0.0002	2992425	2992499	74	0	0	0	0
5659it	Burkholderia_cepacia_strain_FDAARGOS_388_chromosome_2_complete_sequence	genome	-	NZ_CP023521.1	t_pro_syme_symr	not defined	infernal	0.00064	2992432	2992197	235	0	0	0	0
483072bt	Burkholderia_cepacia_strain_FDAARGOS_388_chromosome_2_complete_sequence	genome	-	NZ_CP023521.1	t_pro_syme_symr	580478bt_bac:Blood_disease_bacterium_A2_HR_MARDI_plasmid_unnamed_complete_sequence_tasys:t_pro_syme_	tblastn	3.50e-08	2992448	2992203	85	8	88	90	3397791
