>>>>> statistic <<<<<	NameOfTAS:	bsrg_sr4	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	31	0	77	28	34	5	3	3	32	5	5		
1. sequence analysis	round2	33	0	311	66	34	5	3	3	32	5	5		
1. sequence analysis	round3	33	0	304	73	34	5	3	3	32	5	5		
1. sequence analysis	round4	33	0	310	76	34	5	3	3	32	5	5		
1. sequence analysis	round5	33	0	313	78	34	5	3	3	32	5	5		
2. structure analysis	structure of round5	29	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_bsrg_sr4_round5_0001	---	---	671	209	---	---	---	---	---	---	---		
2. structure analysis	t_nt_bsrg_sr4_round5_0001	---	---	---	---	32	5	---	---	---	---	---		
2. structure analysis	t_pro_bsrg_sr4_round5_0001	---	---	---	---	---	---	---	---	32	5	---		
3. combined analysis	BlastRound5&Infernal	33	0	64	9	64	4	0	0	62	4	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	30	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	48	--	2	--	--	--	2	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	14	--	61	--	--	--	60	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Bacillus_amyloliquefaciens	3	0	6	2	6	1	0	0	6	1	0	
	Bacillus_sp	3	0	5	2	6	2	0	0	6	2	0	
	Bacillus_subtilis	26	0	51	7	50	3	0	0	48	3	0	
	Bacillus_velezensis	1	0	2	1	2	1	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
